1,Background,OutdoorsInCity,,,,,
890,Text,Prelude,は？,,,,
900,Text,Symphony,今なら侵入できる,,,,
910,Text,Triad,Symphony、待――,,,,
920,Text,,Symphonyは既に走り出していた。,,,,
930,Text,Prelude,はっや！？,,,,
940,Text,Triad,Prelude、Symphonyを追え。全く……,,,,
950,Text,Prelude,え、あ、はーい！！,,,,
960,Text,,Preludeも慌てて駆け出す。,,,,
970,Text,,〇行政中央区市街地 東部道路,,,,
980,Text,,連邦軍とゲリラ部隊が激突し、あちこちから銃撃音と怒号があがる。,,,,
990,Text,,Symphonyたちがその激化する戦場の隙間を縫うように高速で駆け抜ける。,,,,
1000,Text,連邦兵,敵襲！！,,,,
1010,Text,連邦兵,撃てぇぇぇ！！,,,,
1020,Text,,連邦兵たちが凄まじい剣幕で反体制派に向かって銃を構える。,,,,
1030,Text,,その背後で物陰や建物の屋上を次々と移動するSymphonyとTriad。,,,,
1040,Text,,そこに迫撃砲が再び飛来する。,,,,
1050,Text,,――ヒュゥゥゥゥ……,,,,
1060,Text,,轟音と共に、道路が吹き飛ぶ。,,,,
1070,Text,Symphony,前方崩落、回避する,,,,
1080,Text,Prelude,うおっとっと！　間一髪！,,,,
1090,Text,ゲリラ兵,突っ込めぇぇ！！,,,,
1100,Text,,混沌と化した戦場の影を伝い、SymphonyとPreludeは市街地内部へと侵入する。,,,,
1110,Text,,〇行政中央区東地区 廃ビル内,,,,
1120,Text,,Symphonyが窓際から外を見る。,,,,
1130,Text,,連邦軍は完全にゲリラ兵への臨戦態勢に移行していた。,,,,
1140,Text,,今も尚、遠くで銃声が鳴り続けている。,,,,
1150,Text,Prelude,結果的にゲリラ兵たちのおかげで潜入できちゃったね,,,,
1160,Text,Symphony,うん、いい陽動になった,,,,
1170,Text,Prelude,しかも、連邦軍かなり混乱してるし、今ならキャンプ内部まで行けそう,,,,
1180,Text,Symphony,うん,,,,
1190,Text,,Symphonyが頷くと、Triadからの無線が入った。,,,,
1200,Text,Triad,やれやれ……。侵入成功を確認,,,,
1210,Text,,Triadの溜息が無線越しに伝わる。,,,,
1220,Text,Triad,Symphony。結果的に上手くいけば、なんでもアリって訳じゃないんだからな,,,,
1230,Text,Symphony,……分かってる,,,,
1240,Text,Triad,ふん……、まぁいいだろう。よし、ここから先が本番だ。今まで以上に気を引き締めて行け,,,,
1250,Text,,Symphonyは静かに銃を構える。,,,,
1260,Text,,その鋭い瞳の先。,,,,
1270,Text,,連邦軍支配地区の奥深くに、カペリメイステルがいる。,,,,
1280,Text,Symphony,待っていろ,,,,
