1,Background,OutdoorsInCity,,,,,
1030,Text,,Symphonyは咄嗟に横へ飛ぶ。,,,,
1040,Text,,弾丸が壁を貫通する。,,,,
1050,Text,Prelude,やばいよ！！,,,,
1060,Text,Triad,Symphony、戦いを中断して逃げろ！,,,,
1070,Text,,14号は静かに歩く。,,,,
1080,Text,,機械のように。,,,,
1090,Text,,感情なく。,,,,
1100,Text,,銃を向ける。,,,,
1110,Text,ヴォロノフ,さあ、13号,,,,
1120,Text,ヴォロノフ,証明してみせろ,,,,
1130,Text,ヴォロノフ,お前に存在価値があることを,,,,
1140,Text,,Symphonyはゆっくり立ち上がる。,,,,
1150,Text,,血が流れる。,,,,
1160,Text,,呼吸が乱れる。,,,,
1170,Text,,それでも、彼女はライフルを構えた。,,,,
1180,Text,Symphony,……ヴォロノフ、お前を殺す,,,,
1190,Text,,雨が降り続ける。,,,,
1200,Text,,燃える戦場の中心で、二人の“人造人間”が向かい合っていた。,,,,
