1,Background,OutdoorsInCity,,,,,
890,Text,,Symphonyの銃弾が兵士を撃ち抜く。,,,,
900,Text,,すぐさま警報が鳴り響く。,,,,
910,Text,,《ALERT》,,,,
920,Text,,《ALERT》,,,,
930,Text,,赤色灯が点灯する。,,,,
940,Text,Prelude,マジかよ……,,,,
950,Text,Triad,Symphony、転送を急げ！,,,,
960,Text,連邦兵,敵襲！！,,,,
970,Text,連邦兵,司令部を守れ！！,,,,
980,Text,,大量の足音。,,,,
990,Text,Symphony,kill Chord……起動,,,,
1000,Text,,《Neural Sync：START》,,,,
1010,Text,,♪――――,,,,
1020,Text,,世界が静まり返る。,,,,
1030,Text,,Symphonyはテーブルを蹴り飛ばしながら射撃する。,,,,
1040,Text,,――ダダダダッ！！,,,,
1050,Text,,敵兵が吹き飛ぶ。,,,,
1060,Text,連邦兵,化け物だ！！,,,,
1070,Text,Symphony,……,,,,
1080,Text,,《Transfer：82%》,,,,
1090,Text,,さらに増援。,,,,
1100,Text,,重装兵。,,,,
1110,Text,,機関銃。,,,,
1120,Text,,壁が弾け飛ぶ。,,,,
1130,Text,Prelude,Symphony、後ろ！！,,,,
1140,Text,,Symphonyは振り返らずナイフを投げる。,,,,
1150,Text,,――ザシュッ！！,,,,
1160,Text,,重装兵の喉へ突き刺さる。,,,,
1170,Text,Prelude,さ、さっすが……,,,,
1180,Text,,《Transfer：100%》,,,,
1190,Text,,《Complete》,,,,
1200,Text,Symphony,転送完了,,,,
1210,Text,Triad,よくやった,,,,
1220,Text,,だが次の瞬間。,,,,
1230,Text,,――ドゴォォォォン！！！,,,,
1240,Text,,キャンプ外周が爆発する。,,,,
1250,Text,,連邦軍増援部隊。,,,,
1260,Text,,装甲車。,,,,
1270,Text,,大量の兵士。,,,,
1280,Text,Prelude,おかしいよ、この量！,,,,
1290,Text,Triad,まずいな、完全に包囲されるぞ,,,,
1300,Text,,Symphonyは静かにAKS-74Uを握る。,,,,
1310,Text,Symphony,……突破する,,,,
1320,Text,Prelude,無理でしょ！,,,,
1330,Text,連邦兵,侵入者を生かして帰すな！！,,,,
1340,Text,連邦兵,総員戦闘配置！！,,,,
1350,Text,,Symphonyはゆっくり前へ出る。,,,,
1360,Text,,赤い瞳。,,,,
1370,Text,,静かな殺意。,,,,
1380,Text,,そして。,,,,
1390,Text,,彼女の脳裏には、あの言葉だけが残っていた。,,,,
1400,Text,,《14号運用計画》,,,,
1410,Text,Symphony,……誰なの,,,,
1420,Text,,その呟きと共に。,,,,
1430,Text,,再び銃声が鳴り響いた。,,,,
