1,Background,OutdoorsInCity,,,,,
440,Text,Symphony,司令テントへ侵入した。発見した敵のコンピュータをハッキングする,,,,
450,Text,,TriadとPreludeに無線を入れるSymphony。,,,,
460,Text,Prelude,はやっ！　もう！？,,,,
470,Text,Triad,了解、油断するな,,,,
480,Text,,彼女は先程の潜入支援端末から伸ばしたコードをパソコンに差し込み、操作する。,,,,
490,Text,Symphony,情報を確認中……,,,,
500,Text,,《東地区占領計画》,,,,
510,Text,,《地下区画封鎖》,,,,
520,Text,,《独立歩兵運用試験》,,,,
530,Text,,Symphonyの手が止まる。,,,,
540,Text,,さらに調べる。,,,,
550,Text,,機密ファイル《OKB-713》,,,,
560,Text,Symphony,……あった！,,,,
570,Text,,彼女は即座にそのファイルを開く。,,,,
580,Text,,そこに記されていたのは、,,,,
590,Text,,《人造人間計画概要》,,,,
600,Text,,Symphonyの瞳が僅かに揺れる。,,,,
610,Text,,内容をさらに読み進めていく。,,,,
620,Text,,《被検体運用》,,,,
630,Text,,《kill Chord 同期試験》,,,,
640,Text,,《0号適合記録》,,,,
650,Text,,《13号経過観察》,,,,
660,Text,Symphony,……ッ,,,,
670,Text,,そこには自分たちの記録があった。,,,,
680,Text,,人間ではなく。,,,,
690,Text,,兵器として。,,,,
700,Text,Symphony,目標の資料を発見,,,,
710,Text,Prelude,え、マジで！？,,,,
720,Text,Symphony,……OKB-713関連,,,,
730,Text,Prelude,ほんとに……！？,,,,
740,Text,Triad,……そうか、よくやった。Symphony、データを転送してくれ,,,,
750,Text,,Symphonyが潜入支援端末で機密ファイルのデータをパソコンから抜き取り、TriadとPreludeに送信する。,,,,
760,Text,,《データ送信中》,,,,
770,Text,,―――― 12%,,,,
780,Text,,―――― 37%,,,,
790,Text,Prelude,お、来てる来てる！　うわ……、なんだこれ,,,,
800,Text,Triad,人体強化試験……神経同期……,,,,
810,Text,Prelude,嫌な気分……,,,,
820,Text,,―――― 61%,,,,
830,Text,Triad,転送完了までもう少しだな,,,,
840,Text,,その時だった。,,,,
850,Text,,――ヒュゥゥゥゥ……,,,,
860,Text,Symphony,……！,,,,
870,Text,,迫撃砲に気づき、背を屈めるSymphony,,,,
880,Text,,次の瞬間。,,,,
890,Text,,――ドゴォォォォン！！！,,,,
900,Text,,司令テント近くへ砲弾が着弾する。,,,,
910,Text,連邦兵,敵襲だぁぁ！！,,,,
920,Text,連邦兵,ゲリラの迫撃か！！,,,,
930,Text,,キャンプ全体が混乱する。,,,,
940,Text,Prelude,Symphony！ 今すぐそこから離れた方がいいかも！,,,,
950,Text,Symphony,でも、まだ機密ファイルが,,,,
960,Text,Triad,それは後回しでいい。安全を優先し――,,,,
970,Text,,――ドゴォォォン！！,,,,
980,Text,,Triadの警告を激しい爆発音が呑み込んだ。,,,,
990,Text,,テントの天幕が吹き飛ぶ。,,,,
1000,Text,Triad,Symphony、無事か！,,,,
1010,Text,Prelude,うわっ、大丈夫かいSymphony！？,,,,
1020,Text,Symphony,問題ない,,,,
1030,Text,,その瞬間。,,,,
1040,Text,連邦兵,侵入者！！,,,,
1050,Text,連邦兵,撃てぇぇぇ！！,,,,
1060,Text,Symphony,前言撤回、敵襲を受けた,,,,
1070,Text,,銃撃されるSymphonyが左右に変則的な回避行動を取る。,,,,
1080,Text,,まるで銃弾とダンスを踊っているかのように、無駄のない動きで素早くステップを踏む。,,,,
1090,Text,,弾丸が机を貫き、地面に食い込む。,,,,
1100,Text,,無数の弾丸のなかの一つが、パソコンをめがけて飛んでくる。,,,,
1110,Text,Symphony,……ッ！！,,,,
1120,Text,,その刹那。,,,,
1130,Text,,―――― 100%,,,,
1140,Text,,《データ送信完了》,,,,
1150,Text,,破裂音と共にパソコンの液晶が割れる。,,,,
1160,Text,Symphony,危なかった,,,,
1170,Text,連邦兵,なんだこいつ！？,,,,
1180,Text,連邦兵,くそっ、銃弾が全く当たらない！　増援を呼べ！！,,,,
1190,Text,,連邦兵二名の手元が震えている。片方が無線機で増援を呼び始めていた。,,,,
1200,Text,Triad,データの受信を確認。さて……、Symphony。敵を殲滅しろ,,,,
1210,Text,Symphony,了解。kill Chord……起動,,,,
1220,Text,,Symphonyの前に次々と連邦兵がやってくる。,,,,
1230,Text,,《Neural Sync：START》,,,,
1240,Text,,♪――――,,,,
1250,Text,,世界が静かになる。,,,,
1260,Text,,Symphonyは低姿勢で目の前の敵の懐に滑り込み、ナイフで喉元を掻っ切る。,,,,
1270,Text,,次々と連邦兵から悲鳴が上がり、死体が地面を埋めていく。,,,,
1280,Text,連邦兵,化け物か――ッ！？,,,,
1290,Text,Symphony,……,,,,
1300,Text,,彼女は一言も発さず、静かに銃弾の中を駆け抜け、至近距離で連邦兵の額をManurhin MR73でぶち抜いていく。,,,,
1310,Text,,戦場のリズムへ同期する。,,,,
1320,Text,,音楽が鳴り止み、振り返りもしないSymphony。,,,,
1330,Text,,彼女の背後には、屍の山ができていた。,,,,
1340,Text,Symphony,敵、殲滅完了,,,,
1350,Text,Triad,流石だな。だが、またすぐに増援が来る。今のうちに東側から離脱しろ,,,,
1360,Text,Symphony,了解,,,,
1370,Text,,彼女は崩れたフェンスへ向かって走る。,,,,
1380,Text,,だが背後から銃弾が彼女の頬を掠めた。,,,,
1390,Text,連邦兵,逃がすな！！,,,,
1400,Text,,Symphonyは振り返る。,,,,
1410,Text,,その赤い瞳が静かに細まる。,,,,
1420,Text,Symphony,……チッ、機関銃か,,,,
1430,Text,,連邦兵がこちらに重苦しい銃口を向けようとしていた。,,,,
