1,Background,OutdoorsInCity,,,,,
780,Text,,Preludeがばつの悪そうな顔で頭を掻く。,,,,
790,Text,Triad,お前たち,,,,
800,Text,,PreludeとSymphonyがTriadの真剣な眼差しに目を向ける。,,,,
810,Text,Triad,必ず生きて帰れ,,,,
820,Text,,Preludeの軽い表情が少しだけ消える。,,,,
830,Text,,SymphonyとPreludeは静かに頷く。,,,,
840,Text,Prelude＆Symphony,……了解,,,,
850,Text,,〇軍用輸送機内,,,,
860,Text,,機内に轟音が鳴り響く。,,,,
870,Text,,赤い警告灯が点滅している。,,,,
880,Text,,《Drop Point Approaching》,,,,
890,Text,Prelude,いよいよだね……。あぁ、なんか緊張してきた,,,,
900,Text,Symphony,高度確認,,,,
910,Text,Prelude,よ、よく冷静でいられるね！？,,,,
920,Text,,Symphonyは平然とパラシュートを装着する。,,,,
930,Text,,Triadの声が無線へ響く。,,,,
940,Text,Triad,聞こえるか,,,,
950,Text,Prelude,あ、聞こえてるよ,,,,
960,Text,Triad,行政中央区は地獄だ。油断した瞬間、死ぬ,,,,
970,Text,Symphony,問題ない,,,,
980,Text,Prelude,キミのその自信は一体どっから来るんだい……？　ボクにも分けて！,,,,
990,Text,,《Rear Gate OPEN》,,,,
1000,Text,,爆音と共に冷たい暴風が。,,,,
1010,Text,,その先には、荒れ果てた行政中央区市街地が広がっていた。,,,,
1020,Text,Triad,――ZeroDivide、これより行政中央区市街地潜入作戦を開始する。位置につけ,,,,
1030,Text,Symphony,了解,,,,
1040,Text,Prelude,それじゃ、地獄の底でまた会おうね！,,,,
1050,Text,,二人は蒼穹の中へと飛び込んだ。,,,,
